title_name;title_id;runtime;release_day;release_month;release_year;worldwide_gross;domestic_gross;foreign_gross;opening_gross;budget;age_rating;genre_drama;genre_comedy;genre_thriller;genre_action;genre_adventure;genre_romance;genre_crime;genre_fantasy;genre_family;genre_scifi;genre_mystery;genre_horror;genre_other;language_english;language_spanish;language_french;language_other;weekday_friday;weekday_wednesday;weekday_thursday;weekday_other;roi;tickets_sold
fast  furious 6;tt1905041;130;17;5;2013;788679850;238679850;550000000;97375245;160000000;3;False;False;True;True;True;False;False;False;False;False;False;False;False;True;True;False;True;True;False;False;False;3.9292490625;29357915
deadpool 2;tt5463162;119;16;5;2018;785794179;324591735;461202444;125507153;110000000;4;False;True;False;True;True;False;False;False;False;True;False;False;False;True;True;False;True;False;True;False;False;6.143583445454546;35630267
deadpool;tt1431045;108;9;2;2016;782612155;363070709;419541446;132434639;58000000;4;False;True;False;True;True;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;True;12.493313017241379;41973492
guardians of the galaxy;tt2015381;121;30;7;2014;772776600;333176600;439600000;94320883;170000000;3;False;True;False;True;True;False;False;False;False;True;False;False;False;True;False;False;False;False;True;False;False;3.545744705882353;40780489
the da vinci code;tt0382625;149;17;5;2006;760006945;217536138;542470807;77073388;125000000;3;False;False;True;True;False;False;False;False;False;False;True;False;False;True;True;True;True;False;True;False;False;5.08005556;33211624
fast  furious presents hobbs  shaw;tt6806448;137;1;7;2019;759056935;173956935;585100000;60038950;200000000;3;False;False;False;True;True;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;True;2.795284675;19095163
maleficent;tt1587310;97;28;5;2014;758410378;241410378;517000000;69431298;180000000;2;False;False;False;True;True;True;False;True;True;False;False;False;False;True;False;False;False;False;True;False;False;3.213390988888889;29548393
the amazing spiderman;tt0948470;136;28;6;2012;757930663;262030663;495900000;62004688;230000000;3;False;False;False;True;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;True;False;2.2953507086956524;32918425
the hunger games mockingjay  part 1;tt1951265;123;19;11;2014;755356711;337135885;418220826;121897634;125000000;3;False;False;True;True;True;False;False;False;False;True;False;False;False;True;False;False;False;False;True;False;False;5.042853688;41265102
shrek forever after;tt0892791;93;20;5;2010;752600867;238736787;513864080;70838207;165000000;2;False;True;False;False;True;True;False;True;True;False;False;False;True;True;False;False;False;False;False;True;False;3.561217375757576;30258147
madagascar 3 europes most wanted;tt1277953;93;6;6;2012;746921274;216391482;530529792;60316738;145000000;2;False;True;False;False;True;False;False;False;True;False;False;False;True;True;True;False;False;False;True;False;False;4.1511812;27184859
suicide squad;tt1386697;123;3;8;2016;746846894;325100054;421746840;133682248;175000000;3;False;False;False;True;True;False;False;True;False;True;False;False;False;True;True;False;True;False;True;False;False;3.2676965371428572;37583821
xmen days of future past;tt1877832;132;21;5;2014;746045700;233921534;512124166;90823660;200000000;3;False;False;True;True;True;False;False;False;False;True;False;False;False;True;False;True;True;False;True;False;False;2.7302285;28631766
the chronicles of narnia the lion the witch and the wardrobe;tt0363771;143;7;12;2005;745013115;291710957;453302158;65556312;180000000;2;False;False;False;False;True;False;False;True;True;False;False;False;False;True;False;False;True;False;True;False;False;3.13896175;45508729
monsters university;tt1453405;104;19;6;2013;743559607;268492764;475066843;82429469;200000000;1;False;True;False;False;True;False;False;True;True;False;False;False;True;True;False;False;False;False;True;False;False;2.717798035;33024940
the matrix reloaded;tt0234215;138;15;5;2003;741846459;281576461;460269998;91774413;150000000;4;False;False;False;True;False;False;False;False;False;True;False;False;False;True;False;True;False;False;False;True;False;3.94564306;46695930
up;tt1049413;96;28;5;2009;735099082;293004164;442094918;68108790;175000000;2;False;True;False;False;True;False;False;False;True;False;False;False;True;True;False;False;False;False;False;True;False;3.200566182857143;39067221
gravity;tt1454468;91;3;10;2013;723192705;274092705;449100000;55785112;100000000;3;True;False;True;False;False;False;False;False;False;True;False;False;False;True;False;False;True;False;False;True;False;6.23192705;33713739
captain america the winter soldier;tt1843866;136;26;3;2014;714421503;259766572;454654931;95023721;170000000;3;False;False;True;True;True;False;False;False;False;True;False;False;False;True;False;True;False;False;True;False;False;3.2024794294117647;31795174
the twilight saga breaking dawn  part 1;tt1324999;117;16;11;2011;712205856;281287133;430918723;138122261;110000000;3;True;False;True;True;True;True;False;True;False;False;False;False;False;True;False;False;True;False;True;False;False;5.474598690909091;35471265
the twilight saga new moon;tt1259571;130;18;11;2009;711020081;297816253;413203828;142839137;50000000;3;True;False;False;False;True;True;False;True;False;False;True;False;False;True;False;False;True;False;True;False;False;13.22040162;39708833
dawn of the planet of the apes;tt2103281;130;9;7;2014;710644566;208545589;502098977;72611427;170000000;3;True;False;False;True;True;False;False;False;False;True;False;False;False;True;False;False;True;False;True;False;False;3.1802621529411765;25525775
transformers;tt0418279;144;28;6;2007;709709780;319246193;390463587;70502384;150000000;3;False;False;False;True;True;False;False;False;False;True;False;False;False;True;True;False;False;False;False;True;False;3.7313985333333335;46402062
the amazing spiderman 2;tt1872181;142;16;4;2014;708982323;202853933;506128390;91608337;200000000;3;False;False;False;True;True;False;False;False;False;True;False;False;False;True;False;False;False;False;True;False;False;2.544911615;24829122
it;tt1396484;135;6;9;2017;701796444;328828874;372967570;123403419;35000000;4;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;True;False;False;19.051326971428573;36658737
the twilight saga eclipse;tt1325004;124;30;6;2010;698491347;300531751;397959596;64832191;68000000;3;True;False;False;True;False;True;False;True;False;False;False;False;False;True;False;False;False;False;True;False;False;9.271931573529411;38090209
mission impossible  ghost protocol;tt1229238;132;14;12;2011;694713380;209397903;485315477;12785204;145000000;3;False;False;True;True;True;False;False;False;False;False;False;False;False;True;False;True;True;False;True;False;False;3.7911267586206896;26405788
the hunger games;tt1392170;142;8;3;2012;694394724;408010692;286384032;152535747;78000000;3;False;False;True;True;True;False;False;False;False;True;False;False;False;True;False;False;False;False;False;True;False;7.902496461538462;51257624
moana;tt3521164;107;23;11;2016;690845539;248757044;442088495;56631401;150000000;2;False;True;False;False;True;False;False;True;True;False;False;False;True;True;False;False;False;False;True;False;False;3.6056369266666666;28758039
mission impossible  rogue nation;tt2381249;131;24;7;2015;682714267;195042377;487671890;55520089;150000000;3;False;False;True;True;True;False;False;False;False;False;False;False;False;True;False;False;True;True;False;False;False;3.551428446666667;23136699
doctor strange;tt1211837;115;25;10;2016;677718395;232641920;445076475;85058311;165000000;3;False;False;False;True;True;False;False;True;False;True;False;False;False;True;False;False;False;False;False;False;True;3.1073842121212123;26895019
